All the ports open between 15-50

Execution time: 33.111318826675415
Port 15/TCP on 27.0.173.186 is filtered
Port 16/TCP on 27.0.173.186 is filtered
Port 17/TCP on 27.0.173.186 is filtered
Port 18/TCP on 27.0.173.186 is filtered
Port 19/TCP on 27.0.173.186 is filtered
Port 20/TCP on 27.0.173.186 is filtered
Port 22/TCP on 27.0.173.186 is open
Port 23/TCP on 27.0.173.186 is filtered
Port 24/TCP on 27.0.173.186 is filtered
Port 26/TCP on 27.0.173.186 is filtered
Port 27/TCP on 27.0.173.186 is filtered
Port 28/TCP on 27.0.173.186 is filtered
Port 29/TCP on 27.0.173.186 is filtered
Port 30/TCP on 27.0.173.186 is filtered
Port 31/TCP on 27.0.173.186 is filtered
Port 32/TCP on 27.0.173.186 is filtered
Port 33/TCP on 27.0.173.186 is filtered
Port 34/TCP on 27.0.173.186 is filtered
Port 35/TCP on 27.0.173.186 is filtered
Port 36/TCP on 27.0.173.186 is filtered
Port 37/TCP on 27.0.173.186 is filtered
Port 38/TCP on 27.0.173.186 is filtered
Port 39/TCP on 27.0.173.186 is filtered
Port 40/TCP on 27.0.173.186 is filtered
Port 41/TCP on 27.0.173.186 is filtered
Port 42/TCP on 27.0.173.186 is filtered
Port 43/TCP on 27.0.173.186 is filtered
Port 44/TCP on 27.0.173.186 is filtered
Port 45/TCP on 27.0.173.186 is filtered
Port 46/TCP on 27.0.173.186 is filtered
Port 47/TCP on 27.0.173.186 is filtered
Port 48/TCP on 27.0.173.186 is filtered
Port 49/TCP on 27.0.173.186 is filtered
Port 50/TCP on 27.0.173.186 is filtered
